league,team,players_used,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url
ENG-Premier League,Arsenal,24,26.4,55.2,23,253,2070,23,42,32,74,40,2,2,51,4,37.6,36.1,28.3,64.4,475,1052,1.83,1.39,3.22,1.74,3.13,1.64,1.23,2.87,1.57,2.8,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,Aston Villa,24,27.6,49.5,23,253,2070,23,33,26,59,31,2,3,50,2,33.7,31.4,24.6,55.9,403,769,1.43,1.13,2.57,1.35,2.48,1.47,1.07,2.54,1.36,2.43,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,Bournemouth,28,25.8,46.1,23,253,2070,23,41,30,71,35,6,7,59,0,44.0,38.5,29.7,68.2,443,919,1.78,1.3,3.09,1.52,2.83,1.92,1.29,3.21,1.67,2.97,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,Brentford,26,26.5,47.7,23,253,2070,23,42,27,69,38,4,4,35,1,36.4,33.3,26.7,60.0,363,832,1.83,1.17,3.0,1.65,2.83,1.58,1.16,2.75,1.45,2.61,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,Brighton,30,25.7,53.1,23,253,2070,23,34,22,56,33,1,1,51,1,31.4,30.7,22.1,52.8,507,969,1.48,0.96,2.43,1.43,2.39,1.37,0.96,2.33,1.33,2.3,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,Chelsea,27,24.1,57.7,23,253,2070,23,45,34,79,42,3,3,68,1,47.0,44.6,35.6,80.2,530,949,1.96,1.48,3.43,1.83,3.3,2.04,1.55,3.59,1.94,3.49,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,Crystal Palace,26,26.8,43.9,23,253,2070,23,25,20,45,23,2,2,47,1,31.2,29.6,24.1,53.7,314,752,1.09,0.87,1.96,1.0,1.87,1.36,1.05,2.4,1.29,2.33,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,Everton,24,29.1,40.0,22,242,1980,22,16,9,25,15,1,1,48,1,21.9,21.1,16.4,37.5,290,601,0.73,0.41,1.14,0.68,1.09,1.0,0.74,1.74,0.96,1.7,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,Fulham,25,28.5,52.8,23,253,2070,23,33,29,62,30,3,4,51,2,32.4,29.2,24.9,54.1,503,944,1.43,1.26,2.7,1.3,2.57,1.41,1.08,2.49,1.27,2.35,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,Ipswich Town,31,26.4,40.1,23,253,2070,23,20,14,34,18,2,2,60,2,20.5,18.9,14.7,33.6,301,548,0.87,0.61,1.48,0.78,1.39,0.89,0.64,1.53,0.82,1.46,/en/squads/b74092de/Ipswich-Town-Stats
ENG-Premier League,Leicester City,28,27.1,45.8,23,253,2070,23,25,20,45,23,2,2,56,0,23.1,21.7,18.5,40.1,364,666,1.09,0.87,1.96,1.0,1.87,1.0,0.8,1.81,0.94,1.74,/en/squads/a2d435b3/Leicester-City-Stats
ENG-Premier League,Liverpool,24,27.7,58.0,22,242,1980,22,54,42,96,49,5,5,45,1,51.4,47.6,38.4,85.9,494,1145,2.45,1.91,4.36,2.23,4.14,2.34,1.75,4.08,2.16,3.91,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,Manchester City,26,27.8,61.1,23,253,2070,23,46,34,80,45,1,2,46,1,43.4,41.7,36.2,77.9,716,1209,2.0,1.48,3.48,1.96,3.43,1.89,1.57,3.46,1.81,3.39,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,Manchester Utd,25,26.3,53.5,23,253,2070,23,27,19,46,24,3,3,54,2,32.8,30.4,25.2,55.6,393,846,1.17,0.83,2.0,1.04,1.87,1.42,1.09,2.52,1.32,2.42,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,Newcastle Utd,24,27.7,51.1,23,253,2070,23,40,31,71,38,2,3,44,1,40.5,38.1,31.5,69.6,448,947,1.74,1.35,3.09,1.65,3.0,1.76,1.37,3.13,1.66,3.03,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,Nott'ham Forest,23,26.9,40.1,23,253,2070,23,33,24,57,31,2,2,54,2,28.5,26.9,20.3,47.2,401,648,1.43,1.04,2.48,1.35,2.39,1.24,0.88,2.12,1.17,2.05,/en/squads/e4a775cb/Nottingham-Forest-Stats
